video_id,title,description,tags
9007f33c8347924ffa12f922da2a179d,Пацанский клининг. Шоу «ЧистоТачка» | Повелитель ночи | Выпуск 17,Тяпа и Егор бросили вызов нестареющему «повелителю ночи». Смогут ли они подарить ему статус «ЧистоТачки»?,Массовая культура: Юмор и сатира
9012707c45233bd601dead57bc9e2eca,"СarJitsu. 3 сезон, 6 серия. Нарек Симонян vs Жека Секси","CarJitsu — бои в формате POP MMA, где вместо ринга бойцы сражаются в салоне автомобиля. В этом выпуске самые опасные и беспощадные! Симонян Нарек «Пухляш» и Жека «Секси» Ушаков Узнайте, осталось ли что-то от машины, в которой они встретились! По вопросам рекламы пишите на email","События и достопримечательности:  Спортивные события, Массовая культура: Юмор и сатира"
e01d6ebabbc27e323fa1b7c581e9b96a,"Злые языки | Выпуск 1, Сезон 1 | Непорочность Даны Борисовой","Почему Дана Борисова предпочитает молчать о поездах по казармам. Как ее поработил искусственный интеллект, о конфликте с Булановой и психологической травме на всю жизнь - харассмент на работе.","Массовая культура: Отношения знаменитостей, Массовая культура: Скандалы знаменитостей"
a00b145242be3ebc3b311455e94917af,$1000 шоу | 1 выпуск | Автобоулинг,"В этом выпуске, популярный автоблогер Дима Гордей, разыграет среди своих подписчиков 1000$! Чтобы забрать деньги- нужно сбить своей машиной максимальное количество кегель-бочек. На это участникам даётся две попытки. Готовьте чайоку-поехали!","Транспорт, Спорт: Автогонки, Массовая культура"
b01a682bf4dfcc09f1e8fac5bc18785a,В РОТ МНЕ НОТЫ #1 ВИТА ЧИКОВАНИ,"В первом выпуске «В рот мне ноты» популярная певица и блогер Вита Чиковани удостоилась чести, чтобы ее трек ЛИЧНО переделали комики канала COMMUNITY. Что из этого вышло? Смотри, нажав на кнопку «плэй»  По вопросам рекламы пишите на email",Массовая культура: Юмор и сатира
f02709d3f6b2fbd265863ef538b13c0a,Смешная история | Выпуск 3,"Юный Михаил Ломоносов отправляется в Москву на повозке, используя современные технологии, Иван Грозный приступает к курсам онлайн-терапии, а Александр Сергеевич Пушкин пытается вспомнить, чем обидел возлюбленную.  Новый выпуск «Смешной истории»! Где-то правда, где-то смешно!","Массовая культура, Изобразительное искусство"
f02fceb454008fe7907b47324569b845,Женсовет I Выпуск 6 I Мужчина в новой феминистической реальности I В гостях психолог Алёна Романова.,Краткая инструкция по выживанию для мужчин в современном феминистическом обществе и рекомендации для женщин не желающих действовать под эгидой «феминистических клише». В гостях психолог Алёна Романова.,Семья и отношения
c02e68f64c25f55afb78ba5f7c8b66bc,"Осторожно, мошенники! Онлайн экстрасенс","В этой серии СуперБатр объяснит доверчивой женщине, что не надо отдавать свои деньги  мошенникам, которые прикидываются экстрасенсами, гадалками, медиумами и т.д.","Хобби и интересы: Мастер-классы, Религия и духовность: астрология"
8023d3d7dced55a0bcd6356c5715a6f9,Kuzov Studio в ГрандТуре «Байкальская миля 2021». Омск,"Омсктрансмаш - легендарный танковый завод, эвакуированный из Ленинграда в годы Великой Отечественной войны","Путешествия, События и достопримечательности: Исторические места и достопримечательности"
90203d59857ed1fbb1c3142aa1fe7714,"Салют, Начальник | 7 серия","Назаров отправляется в райцентр по поручению главы села, чтобы получить разрешение на салют, но сталкивается со сложностями. Сундук решает уехать в город, а Яшка не выходит на связь.  По вопросам рекламы пишите на email","Массовая культура, Фильмы и анимация"
a019c03cdf1a178ce95f49bb737d0bf8,Антон Протеинов I #1 IКак накачать все мышцы за один час!!!,"В этой серии Легенда ворк-аута Антон Протеинов познакомит вас с новыми мышцами в человеческом организме, научит приседать, отжиматься и любить Россию.","Спорт, Массовая культура: Юмор и сатира"
f03fcac78a2a91e2dab71e8f2ead04bc,LocatiON | Bolo Young - Восторг,"Группа Bolo Young с «Восторгом» в музыкальном автобусе едет по улицам Москвы, исполняя свою песню в лайф формате. Однокадровое музыкальное видео дополняется небольшим интервью музыкантов в конце.",Музыка и аудио: Рок музыка
f0405a36429b3211cb199ae7bfc8fc3e,Женсовет | Выпуск 23 | Звезды подскажут! Стоит ли верить астрологии?,"Асцендент и натальная карта — уже хорошо знакомые нам слова. Но почему нам так нравится узнавать информацию о себе из астрологии? В новом выпуске «Женсовета» мы пригласили астролога, у которой узнали, действительно ли можно доверить жизнь звездам и что делать, если новый возлюбленный оказался скорпионом.",Религия и духовность: астрология
c037b00580b5fcd9b8b85f3c83b01591,Люди у которых клюет | Выпуск 22 | Крайняя рыбалка на жерлицы. Поиск щуки на пруду в марте,"Отправились на пруд половить щуку на жерлицы. Развели костёр и поели тушенку. Как ловить щуку в марте, смотрите в этом выпуске.",Спорт: Рыбалка
102bb472ee65363449aa48b60a4febdf,Тяпа | #35 | ПОСАДИЛИ ВСЁ!  ДЕД ДОВОЛЕН!,"Огород, картошка, рок-н-ролл – Тяпа, Чернобыль и их девушки едут в деревню! Дед Лизы покажет им настоящую сельскую жизнь – от посадок и модной одежды до настоящего самогона.",Массовая культура: Юмор и сатира
